source,target,value
Other cities,Oleaceae,39
Other cities,Ulmaceae,1187
Other cities,Pinaceae,58
Other cities,Lythraceae,497
Other cities,Arecaceae,4
Other cities,Cupressaceae,701
Other cities,Magnoliaceae,159
Other cities,Altingiaceae,287
Other cities,Other species,594
Other cities,Sapindaceae,55
Other cities,Rosaceae,71
Other cities,Fagaceae,1633
Other cities,Fabaceae,50
Other cities,Oleaceae,9
Other cities,Ulmaceae,570
Other cities,Platanaceae,408
Other cities,Pinaceae,1312
Other cities,Lythraceae,184
Other cities,Arecaceae,4
Other cities,Myrtaceae,1
Other cities,Cupressaceae,322
Other cities,Magnoliaceae,5
Other cities,Altingiaceae,6
Other cities,Other species,1543
Other cities,Sapindaceae,39
Other cities,Rosaceae,110
Other cities,Fagaceae,1975
Other cities,Fabaceae,287
Other cities,Oleaceae,180
Other cities,Ulmaceae,1170
Other cities,Platanaceae,46
Other cities,Pinaceae,7
Other cities,Lythraceae,622
Other cities,Arecaceae,58
Other cities,Malvaceae,5
Other cities,Myrtaceae,7
Other cities,Cupressaceae,189
Other cities,Magnoliaceae,6
Other cities,Altingiaceae,7
Other cities,Other species,1366
Other cities,Sapindaceae,99
Other cities,Rosaceae,260
Other cities,Fagaceae,153
Other cities,Fabaceae,281
Other cities,Oleaceae,279
Other cities,Ulmaceae,456
Other cities,Platanaceae,231
Other cities,Pinaceae,333
Other cities,Lythraceae,1
Other cities,Malvaceae,31
Other cities,Cupressaceae,69
Other cities,Other species,292
Other cities,Sapindaceae,155
Other cities,Rosaceae,185
Other cities,Fagaceae,324
Other cities,Fabaceae,54
Other cities,Oleaceae,68
Other cities,Ulmaceae,370
Other cities,Platanaceae,281
Other cities,Pinaceae,6
Other cities,Lythraceae,24
Other cities,Malvaceae,31
Other cities,Cupressaceae,37
Other cities,Magnoliaceae,32
Other cities,Altingiaceae,131
Other cities,Other species,341
Other cities,Sapindaceae,488
Other cities,Rosaceae,104
Other cities,Fagaceae,360
Other cities,Fabaceae,36
Other cities,Oleaceae,57
Other cities,Ulmaceae,255
Other cities,Platanaceae,66
Other cities,Pinaceae,55
Other cities,Lythraceae,161
Other cities,Malvaceae,28
Other cities,Cupressaceae,32
Other cities,Magnoliaceae,12
Other cities,Altingiaceae,32
Other cities,Other species,129
Other cities,Sapindaceae,267
Other cities,Rosaceae,134
Other cities,Fagaceae,195
Other cities,Fabaceae,8
Other cities,Oleaceae,19
Other cities,Ulmaceae,12
Other cities,Pinaceae,394
Other cities,Malvaceae,2
Other cities,Cupressaceae,68
Other cities,Magnoliaceae,2
Other cities,Other species,158
Other cities,Sapindaceae,139
Other cities,Rosaceae,90
Other cities,Fagaceae,468
Other cities,Oleaceae,2
