source,target,value
New Orleans,Lythraceae,30270
New Orleans,Arecaceae,6240
New Orleans,Malvaceae,71
New Orleans,Myrtaceae,249
New Orleans,Cupressaceae,6451
New Orleans,Magnoliaceae,6665
New Orleans,Altingiaceae,254
New Orleans,Anacardiaceae,1290
New Orleans,Cannabaceae,488
New Orleans,Moraceae,607
New Orleans,Betulaceae,370
New Orleans,Bignoniaceae,58
